"Terminal columns", "Squares per row", "Squares per col", "Ops"
0, 0, 0, "55248.62"
10, 0, 0, "58139.53"
20, 0, 0, "39370.08"
30, 0, 0, "29154.52"
40, 0, 0, "23474.18"
50, 0, 0, "18832.39"
60, 0, 0, "15432.10"
70, 0, 0, "12531.33"
80, 0, 0, "10482.18"
90, 0, 0, "8703.22"
100, 0, 0, "7220.22"
0, 10, 0, "59523.81"
10, 10, 0, "50505.05"
20, 10, 0, "47393.37"
30, 10, 0, "40485.83"
40, 10, 0, "36363.64"
50, 10, 0, "32258.06"
60, 10, 0, "30769.23"
70, 10, 0, "28571.43"
80, 10, 0, "26954.18"
90, 10, 0, "24875.62"
100, 10, 0, "23809.53"
0, 20, 0, "45454.55"
10, 20, 0, "39682.54"
20, 20, 0, "37174.72"
30, 20, 0, "35087.72"
40, 20, 0, "33003.30"
50, 20, 0, "32573.29"
60, 20, 0, "30303.03"
70, 20, 0, "29673.59"
80, 20, 0, "28818.44"
90, 20, 0, "28248.59"
100, 20, 0, "25773.20"
0, 30, 0, "37037.04"
10, 30, 0, "34482.76"
20, 30, 0, "31948.88"
30, 30, 0, "31347.96"
40, 30, 0, "30487.80"
50, 30, 0, "30395.14"
60, 30, 0, "29673.59"
70, 30, 0, "28901.73"
80, 30, 0, "27027.03"
90, 30, 0, "26525.20"
100, 30, 0, "25575.45"
0, 40, 0, "32786.88"
10, 40, 0, "32258.06"
20, 40, 0, "30211.48"
30, 40, 0, "29239.77"
40, 40, 0, "28901.73"
50, 40, 0, "28409.09"
60, 40, 0, "28089.89"
70, 40, 0, "27548.21"
80, 40, 0, "26954.18"
90, 40, 0, "26109.66"
100, 40, 0, "26246.72"
0, 50, 0, "30769.23"
10, 50, 0, "30303.03"
20, 50, 0, "28248.59"
30, 50, 0, "26881.72"
40, 50, 0, "26737.97"
50, 50, 0, "26455.03"
60, 50, 0, "26246.72"
70, 50, 0, "25706.94"
80, 50, 0, "25510.21"
90, 50, 0, "25252.53"
100, 50, 0, "24271.84"
0, 60, 0, "28735.63"
10, 60, 0, "28328.61"
20, 60, 0, "28011.21"
30, 60, 0, "25773.20"
40, 60, 0, "25188.92"
50, 60, 0, "24937.66"
60, 60, 0, "24630.54"
70, 60, 0, "24271.84"
80, 60, 0, "24038.46"
90, 60, 0, "23809.53"
100, 60, 0, "23696.68"
0, 70, 0, "27027.03"
10, 70, 0, "26595.75"
20, 70, 0, "26455.03"
30, 70, 0, "24330.90"
40, 70, 0, "23041.47"
50, 70, 0, "23364.49"
60, 70, 0, "23041.47"
70, 70, 0, "22883.29"
80, 70, 0, "22779.04"
90, 70, 0, "22471.91"
100, 70, 0, "22222.22"
0, 80, 0, "25706.94"
10, 80, 0, "25188.92"
20, 80, 0, "25000.00"
30, 80, 0, "24752.47"
40, 80, 0, "22779.04"
50, 80, 0, "22222.22"
60, 80, 0, "22123.89"
70, 80, 0, "21739.13"
80, 80, 0, "21739.13"
90, 80, 0, "21367.52"
100, 80, 0, "21141.65"
0, 90, 0, "24449.88"
10, 90, 0, "24038.46"
20, 90, 0, "24038.46"
30, 90, 0, "23752.97"
40, 90, 0, "21786.49"
50, 90, 0, "21097.05"
60, 90, 0, "20703.93"
70, 90, 0, "20661.16"
80, 90, 0, "19801.98"
90, 90, 0, "19305.02"
100, 90, 0, "19230.77"
0, 100, 0, "23310.02"
10, 100, 0, "23041.47"
20, 100, 0, "22831.05"
30, 100, 0, "22624.43"
40, 100, 0, "20576.13"
50, 100, 0, "20491.80"
60, 100, 0, "19762.85"
70, 100, 0, "19607.84"
80, 100, 0, "19267.82"
90, 100, 0, "19267.82"
100, 100, 0, "19083.97"
0, 0, 10, "42194.09"
10, 0, 10, "23419.21"
20, 0, 10, "12500.00"
30, 0, 10, "7062.15"
40, 0, 10, "4226.54"
50, 0, 10, "2876.87"
60, 0, 10, "2079.87"
70, 0, 10, "1570.35"
80, 0, 10, "1236.71"
90, 0, 10, "999.60"
100, 0, 10, "815.93"
0, 10, 10, "16366.61"
10, 10, 10, "15220.70"
20, 10, 10, "13089.00"
30, 10, 10, "11185.68"
40, 10, 10, "9285.05"
50, 10, 10, "8190.01"
60, 10, 10, "7137.76"
70, 10, 10, "6142.51"
80, 10, 10, "5440.70"
90, 10, 10, "4746.08"
100, 10, 10, "4147.66"
0, 20, 10, "10235.42"
10, 20, 10, "9560.23"
20, 20, 10, "9233.61"
30, 20, 10, "8695.65"
40, 20, 10, "7788.16"
50, 20, 10, "7230.66"
60, 20, 10, "6402.05"
70, 20, 10, "5783.69"
80, 20, 10, "5271.48"
90, 20, 10, "5002.50"
100, 20, 10, "4539.26"
0, 30, 10, "7434.94"
10, 30, 10, "7358.35"
20, 30, 10, "6798.10"
30, 30, 10, "6605.02"
40, 30, 10, "6289.31"
50, 30, 10, "5973.72"
60, 30, 10, "5512.68"
70, 30, 10, "5205.62"
80, 30, 10, "4743.83"
90, 30, 10, "4516.71"
100, 30, 10, "4106.78"
0, 40, 10, "5807.20"
10, 40, 10, "5837.71"
20, 40, 10, "5373.46"
30, 40, 10, "5291.01"
40, 40, 10, "5186.72"
50, 40, 10, "5012.53"
60, 40, 10, "4784.69"
70, 40, 10, "4559.96"
80, 40, 10, "4308.49"
90, 40, 10, "4122.01"
100, 40, 10, "3930.82"
0, 50, 10, "4798.46"
10, 50, 10, "4823.93"
20, 50, 10, "4440.50"
30, 50, 10, "4416.96"
40, 50, 10, "4353.50"
50, 50, 10, "4262.57"
60, 50, 10, "4145.94"
